,CAD_EVNT_ID,CREATE_DATE,INCIDENT_DATE,INCIDENT_TIME,NYPD_PCT_CD,BORO_NM,PATRL_BORO_NM,GEO_CD_X,GEO_CD_Y,RADIO_CODE,TYP_DESC,CIP_JOBS,ADD_TS,DISP_TS,ARRIVD_TS,CLOSNG_TS,Latitude,Longitude
97655,74572816,01/29/2021,01/29/2021,10:48:59,100,QUEENS,PATROL BORO QUEENS SOUTH,1037018,152579,31R,BURGLARY (IN PROGRESS): RESIDENCE,Critical,01/29/2021 10:48:59 AM,01/29/2021 10:49:57 AM,01/29/2021 10:53:20 AM,01/29/2021 10:59:47 AM,40.585321,-73.810023
31791,74164528,01/10/2021,01/10/2021,02:50:30,115,QUEENS,PATROL BORO QUEENS NORTH,1024342,214216,75D,VISIBILITY PATROL: DIRECTED,Non CIP,01/10/2021 02:50:30 AM,01/10/2021 02:50:32 AM,01/10/2021 02:51:02 AM,01/10/2021 03:36:59 AM,40.754567,-73.855293
23399,74114383,01/07/2021,01/07/2021,18:32:33,103,QUEENS,PATROL BORO QUEENS SOUTH,1037733,196344,68Q2,SEE COMPLAINANT: OTHER/OUTSIDE,Non CIP,01/07/2021 06:32:34 PM,01/07/2021 06:33:44 PM,01/07/2021 06:47:49 PM,01/07/2021 07:00:02 PM,40.705442,-73.807102
17734,74080578,01/06/2021,01/06/2021,06:43:40,112,QUEENS,PATROL BORO QUEENS NORTH,1026606,203394,10V2,INVESTIGATE/POSSIBLE CRIME: SUSP VEHICLE/OUTSIDE,Non CIP,01/06/2021 06:43:40 AM,01/06/2021 06:43:40 AM,01/06/2021 06:43:40 AM,01/06/2021 06:48:40 AM,40.724853,-73.847189
29283,74149017,01/09/2021,01/09/2021,10:44:13,109,QUEENS,PATROL BORO QUEENS NORTH,1027001,226672,54E1,AMBULANCE CASE: EDP/INSIDE,Non CIP,01/09/2021 10:44:13 AM,01/09/2021 10:45:07 AM,,01/09/2021 12:20:57 PM,40.788743,-73.845616
49983,74275713,01/15/2021,01/15/2021,11:45:43,108,QUEENS,PATROL BORO QUEENS NORTH,1011387,212017,29H1,OTHER CRIMES (PAST): HARASSMENT/INSIDE,Non CIP,01/15/2021 11:45:43 AM,01/15/2021 11:46:18 AM,01/15/2021 01:32:52 PM,01/15/2021 01:41:23 PM,40.748581,-73.902062
75873,74436963,01/22/2021,01/22/2021,23:40:34,112,QUEENS,PATROL BORO QUEENS NORTH,1024425,207448,54E2,AMBULANCE CASE: EDP/OUTSIDE,Non CIP,01/22/2021 11:40:34 PM,01/22/2021 11:45:26 PM,01/22/2021 11:53:16 PM,01/23/2021 12:04:47 AM,40.73599,-73.855034
72120,74413198,01/21/2021,01/21/2021,20:54:48,103,QUEENS,PATROL BORO QUEENS SOUTH,1040139,196376,54U2,AMBULANCE CASE: UNCONSCIOUS/OUTSIDE,Non CIP,01/21/2021 08:54:48 PM,01/21/2021 09:00:34 PM,01/21/2021 09:14:12 PM,01/21/2021 11:30:31 PM,40.705515,-73.798424
54824,74305234,01/16/2021,01/16/2021,19:07:05,114,QUEENS,PATROL BORO QUEENS NORTH,999530,214433,10P2,INVESTIGATE/POSSIBLE CRIME: SUSP PERSON/OUTSIDE (PROWLER),Non CIP,01/16/2021 07:07:05 PM,01/16/2021 07:07:05 PM,01/16/2021 07:07:05 PM,01/16/2021 07:23:15 PM,40.755241,-73.944849
105384,74620811,01/31/2021,01/31/2021,15:29:44,106,QUEENS,PATROL BORO QUEENS SOUTH,1035379,186029,54S1,AMBULANCE CASE: SERIOUS/INSIDE,Non CIP,01/31/2021 03:29:44 PM,01/31/2021 03:42:56 PM,,01/31/2021 04:11:16 PM,40.677144,-73.81567
71883,74411875,01/21/2021,01/21/2021,19:40:31,114,QUEENS,PATROL BORO QUEENS NORTH,1008586,215402,54E1,AMBULANCE CASE: EDP/INSIDE,Non CIP,01/21/2021 07:40:31 PM,01/21/2021 07:44:09 PM,01/21/2021 07:48:25 PM,01/21/2021 08:07:58 PM,40.75788,-73.912159
18044,74082495,01/06/2021,01/06/2021,09:14:47,115,QUEENS,PATROL BORO QUEENS NORTH,1023851,215058,10Y3,INVESTIGATE/POSSIBLE CRIME: SERIOUS/OTHER,Non CIP,01/06/2021 09:14:48 AM,01/06/2021 09:18:01 AM,01/06/2021 10:55:42 AM,01/06/2021 11:13:39 AM,40.756881,-73.85706
106421,74627165,01/31/2021,01/31/2021,21:15:39,109,QUEENS,PATROL BORO QUEENS NORTH,1032554,217548,52D1,DISPUTE: INSIDE,Non CIP,01/31/2021 09:15:39 PM,01/31/2021 09:33:00 PM,01/31/2021 11:21:03 PM,01/31/2021 11:21:08 PM,40.763672,-73.825629
889,73979622,01/01/2021,01/01/2021,05:21:02,104,QUEENS,PATROL BORO QUEENS NORTH,1013419,205407,68Q2,SEE COMPLAINANT: OTHER/OUTSIDE,Non CIP,01/01/2021 05:21:02 AM,01/01/2021 05:22:22 AM,01/01/2021 06:02:29 AM,01/01/2021 06:03:05 AM,40.730432,-73.894757
82811,74479029,01/25/2021,01/25/2021,00:10:01,110,QUEENS,PATROL BORO QUEENS NORTH,1024930,208886,32Q1,LARCENY (IN PROGRESS): OTHER/INSIDE,Serious,01/25/2021 12:10:01 AM,01/25/2021 12:11:12 AM,01/25/2021 12:18:48 AM,01/25/2021 12:23:10 AM,40.739935,-73.853203
27030,74136147,01/08/2021,01/08/2021,18:48:10,107,QUEENS,PATROL BORO QUEENS SOUTH,1037342,201707,54S1,AMBULANCE CASE: SERIOUS/INSIDE,Non CIP,01/08/2021 06:48:10 PM,01/08/2021 06:52:28 PM,,01/08/2021 07:20:41 PM,40.720165,-73.80847
8660,74025862,01/03/2021,01/03/2021,14:35:31,105,QUEENS,PATROL BORO QUEENS SOUTH,1062960,211157,75D,VISIBILITY PATROL: DIRECTED,Non CIP,01/03/2021 02:35:31 PM,01/03/2021 02:35:31 PM,01/03/2021 02:35:31 PM,01/03/2021 03:06:21 PM,40.745912,-73.715941
90139,74525385,01/27/2021,01/27/2021,07:45:05,105,QUEENS,PATROL BORO QUEENS SOUTH,1064899,206794,34Q6,ASSAULT (IN PROGRESS): OTHER/FAMILY,Serious,01/27/2021 07:45:05 AM,01/27/2021 07:45:29 AM,01/27/2021 07:55:34 AM,01/27/2021 10:54:42 AM,40.733919,-73.708996
87115,74506443,01/26/2021,01/26/2021,10:06:07,114,QUEENS,PATROL BORO QUEENS NORTH,1002090,221211,75F,VISIBILITY PATROL: FAMILY/HOME VISIT,Non CIP,01/26/2021 10:06:07 AM,01/26/2021 10:06:09 AM,01/26/2021 10:06:12 AM,01/26/2021 10:16:06 AM,40.77384,-73.935591
17327,74078202,01/06/2021,01/06/2021,02:07:53,111,QUEENS,PATROL BORO QUEENS NORTH,1047510,216004,11C4,ALARMS: COMMERCIAL/BURGLARY,Non CIP,01/06/2021 02:08:23 AM,01/06/2021 02:09:35 AM,,01/06/2021 02:12:26 AM,40.759339,-73.771654
57735,74323426,01/17/2021,01/17/2021,16:44:20,114,QUEENS,PATROL BORO QUEENS NORTH,1007938,217508,68Q1,SEE COMPLAINANT: OTHER/INSIDE,Non CIP,01/17/2021 04:44:20 PM,01/17/2021 04:44:20 PM,01/17/2021 04:44:20 PM,01/17/2021 04:57:04 PM,40.763662,-73.91449
38001,74202234,01/11/2021,01/11/2021,23:55:30,109,QUEENS,PATROL BORO QUEENS NORTH,1038966,215289,34Q6,ASSAULT (IN PROGRESS): OTHER/FAMILY,Serious,01/11/2021 11:55:30 PM,01/11/2021 11:56:38 PM,01/12/2021 12:00:17 AM,01/12/2021 07:33:08 AM,40.757434,-73.8025
69421,74395719,01/21/2021,01/21/2021,02:30:25,100,QUEENS,PATROL BORO QUEENS SOUTH,1030083,150788,68Q1,SEE COMPLAINANT: OTHER/INSIDE,Non CIP,01/21/2021 02:30:25 AM,01/21/2021 02:30:25 AM,01/21/2021 02:30:25 AM,01/21/2021 02:38:48 AM,40.580444,-73.835003
