objectid,globalid,Seating Interest (Sidewalk/Roadway/Both),Restaurant Name,Legal Business Name,Doing Business As (DBA),Building Number,Street,Borough,Postcode,Business Address,Food Service Establishment Permit #,Sidewalk Dimensions (Length),Sidewalk Dimensions (Width),Sidewalk Dimensions (Area),Roadway Dimensions (Length),Roadway Dimensions (Width),Roadway Dimensions (Area),Approved for Sidewalk Seating,Approved for Roadway Seating,Qualify Alcohol,SLA Serial Number,SLA License Type,Landmark District or Building,landmarkDistrict_terms,healthCompliance_terms,Time of Submission,Latitude,Longitude,Community Board,Council District,Census Tract,BIN,BBL,NTA
5937,{D55B233D-87F9-46E7-80EB-52C40BB71D79},both,Oren's Daily Roast aka Oren's Coffee,Icon Coffee Co.,Oren's Daily Roast,985,Lexington Ave,Manhattan,10021,"985 Lexington Ave, Manhattan, NY",50089600,40,6,240,40,8,320,yes,yes,no,,,no,,yes,06/27/2020 01:05:00 AM,40.769839,-73.96262,8,4,128,1042807,1014060021,Upper East Side-Carnegie Hill
7237,{51EC2A17-BAE8-4A96-85C5-511244540F21},both,Idlewild Coffee Co.,Idlewild Coffee Co. LLC,Idlewild Coffee Co.,300,E 5th St,Manhattan,10003,"300 E 5th St, Manhattan, NY",0,12,5,60,12,8,96,yes,yes,no,,,no,,yes,07/04/2020 11:48:00 AM,40.726623,-73.988632,3,2,38,1006205,1004460008,East Village
6310,{56770476-447B-44CD-828A-35AF48FCA939},both,Handcraft Coffee,77th Street coffee shop inc,Handcraft Coffee,151,E. 77,Manhattan,10075,"151 E. 77, Manhattan, NY",50057298,20,15,300,20,7,140,yes,yes,no,,,no,,yes,06/29/2020 01:30:00 PM,40.773428,-73.959329,8,4,140,1043195,1014120022,Upper East Side-Carnegie Hill
916,48b85118-457e-4d70-8bf3-8ecc35e4de36,sidewalk,Gregorys Coffee,1273 First Coffee and Bakery LLC,1273 First Coffee and Bakery LLC,1273,First Avenue,Manhattan,10065,"1273 First Avenue, Manhattan, NY",50048645,16,7,112,,,,yes,no,no,,,no,,yes,06/19/2020 02:25:00 PM,40.765616,-73.957608,8,5,118,1044760,1014430027,Lenox Hill-Roosevelt Island
9027,{099B8153-6C17-49B4-8C9A-C019D5ABBE15},sidewalk,Black Fox Coffee,Black Fox Coffee 70 Pine LLC,Black Fox Coffee,70,Pine Street,Manhattan,10005,"70 Pine Street, Manhattan, NY",50094234,20,4,80,,,,yes,no,no,,,yes,yes,yes,07/21/2020 11:15:00 AM,40.706315,-74.007895,1,1,7,1001007,1000417504,Battery Park City-Lower Manhattan
1391,b2b575ca-6636-4014-8ced-72903cffad8c,both,Kona Coffee and Company,Kona Coffee and Company Inc,Kona Coffee and Company,57,2nd ave,Manhattan,10003,"57 2nd ave, Manhattan, NY",50069763,200,10,2000,200,8,1600,yes,yes,no,,,yes,yes,yes,06/19/2020 04:21:00 PM,40.7258,-73.989725,3,2,38,1006576,1004590032,East Village
9504,{981471FC-C55C-425A-86CE-396F2F146096},roadway,Joe Coffee Waverly,JAGR LLC,JAGR LLC,141,Waverly Place,Manhattan,10014,"141  Waverly Place, Manhattan, NY",40957726,,,,8,4,32,no,yes,no,,,yes,yes,yes,07/29/2020 11:25:00 AM,40.7332,-74.000599,2,3,71,1010261,1005930003,West Village
9548,{2871D07F-7BBF-4A89-8CDB-283E23ECAA29},sidewalk,Gregorys Coffee,356 Coffee and Bakery LLC,356 Coffee and Bakery LLC,356,7th Avenue,Manhattan,10001,"356 7th Avenue, Manhattan, NY",50042803,25,15,375,,,,yes,no,no,,,no,,yes,07/30/2020 11:08:00 AM,40.748293,-73.992601,5,3,95,1014292,1007790043,Midtown-Midtown South
1707,244f1310-abc0-4c59-8913-7fadc0a05064,both,Dear Mama Coffee,Panama Hat Roasters LLC,Dear Mama Coffee,308,East 109th Street,Manhattan,10029,"308 East 109th Street, Manhattan, NY",50050972,12,6,72,20,8,160,yes,yes,yes,1296419,TW,no,,yes,06/19/2020 06:17:00 PM,40.792337,-73.940545,11,8,170,1089783,1016800148,East Harlem South
1128,5b75d28b-7fd5-4440-8d58-f8ae1d4e4599,sidewalk,Daniels Coffee and more,DKL ENTERPRISES LLC,Daniels Coffee and More,1050,3rd ave,Manhattan,10065,"1050  3rd ave, Manhattan, NY",50104383,8,3,24,,,,yes,no,no,,,no,,yes,06/19/2020 03:12:00 PM,40.76353,-73.965154,8,4,11402,1042050,1013970033,Upper East Side-Carnegie Hill
8426,{38A95F68-069B-4FED-82CE-D6B9D51FCF62},sidewalk,Gregorys Coffee,880 Third Coffee and Bakery LLC,880 Third Coffee and Bakery LLC,880,Third Avenue,Manhattan,10022,"880 Third Avenue, Manhattan, NY",50066298,20,15,300,,,,yes,no,no,,,no,,yes,07/15/2020 10:27:00 AM,40.75791,-73.969254,6,4,100,1036473,1013080033,Turtle Bay-East Midtown
5020,{7EC8C9E0-51C0-4D25-8D15-E8C446207AB5},both,REMI FLOWER COFFEE,JM FLOWER CORP,REMI FLOWER & COFFEE,906,2ND AVE,Manhattan,10017,"906 2ND AVE, Manhattan, NY",50066881,44,10,440,22,8,176,yes,yes,no,,,no,,yes,06/24/2020 04:22:00 PM,40.753804,-73.969292,6,4,90,1038916,1013410001,Turtle Bay-East Midtown
8588,{923B9831-CB06-49C1-8E7F-E92ECF308794},both,Brooklyn Bagel & Coffee Company,286 Bagel Corp.,Brooklyn Bagel & Coffee Company,286,8th Avenue,Manhattan,10001,"286 8th Avenue, Manhattan, NY",41298537,20,15,300,20,8,160,yes,yes,no,,,no,,yes,07/16/2020 12:58:00 PM,40.746207,-73.997809,4,3,91,1014168,1007740004,Hudson Yards-Chelsea-Flatiron-Union Square
6357,{D9374623-8AD7-4DF6-8EC5-F8DA1F3CF956},sidewalk,Partners Coffee,Toby's Coffee West Village LLC,Toby's Coffee West Village LLC,44,Charles Street,Manhattan,10014,"44 Charles Street, Manhattan, NY",50016203,35,15,525,,,,yes,no,no,,,no,,yes,06/29/2020 03:18:00 PM,40.735014,-74.002295,2,3,73,1010829,1006110016,West Village
6525,{AA197460-629D-4E9B-8291-D4D45B7EDD36},sidewalk,Kuro Kuma Espresso & Coffee,"Jack Of Hearts Coffee, LLC",Kuro Kuma Espresso & Coffee,121,La Salle Street,Manhattan,10027,"121 La Salle Street, Manhattan, NY",41672484,16,6,96,,,,yes,no,no,,,no,,yes,06/30/2020 12:23:00 PM,40.814015,-73.960236,9,7,211,1059849,1019930073,Morningside Heights
8340,{34FF3170-1916-41E6-85AF-01500F618F27},sidewalk,Starbucks Coffee Company,Starbucks Coffee Company,Starbucks Coffee Company,684,6th ave,Manhattan,10010,"684  6th ave , Manhattan, NY",40560440,12,16,192,,,,yes,no,no,,,no,,yes,07/14/2020 02:29:00 PM,40.741925,-73.993504,5,3,58,1015557,1008230083,Hudson Yards-Chelsea-Flatiron-Union Square
