DBN,School Name,Grade,Year,Number Tested,# Level 3+4
22K206,P.S. 206 JOSEPH F LAMB,3,2019,168,109
22K207,P.S. 207 ELIZABETH G. LEARY,3,2019,129,64
22K217,P.S. 217 COLONEL DAVID MARCUS SCHOOL,3,2019,189,115
22K222,P.S. 222 KATHERINE R. SNYDER,3,2019,140,110
22K236,P.S. 236 MILL BASIN,3,2019,89,80
22K245,P.S. 245,3,2019,42,17
22K251,P.S. 251 PAERDEGAT,3,2019,74,18
22K254,P.S. 254 DAG HAMMARSKJOLD,3,2019,121,99
22K255,P.S. 255 BARBARA REING SCHOOL,3,2019,149,94
22K277,P.S. 277 GERRITSEN BEACH,3,2019,66,51
22K312,P.S. 312 BERGEN BEACH,3,2019,124,84
22K315,P.S. K315,3,2019,85,40
22K361,P.S. 361 EAST FLATBUSH EARLY CHILDHOOD SCHOOL,3,2019,73,27
23K041,P.S. 041 FRANCIS WHITE,3,2019,34,5
23K137,P.S./I.S. 137 RACHEL JEAN MITCHELL,3,2019,24,9
23K150,P.S. 150 CHRISTOPHER,3,2019,25,5
23K155,P.S./ I.S. 155 NICHOLAS HERKIMER,3,2019,50,12
23K156,P.S. 156 WAVERLY,3,2019,100,33
23K165,P.S. 165 IDA POSNER,3,2019,24,9
23K178,P.S. 178 SAINT CLAIR MCKELWAY,3,2019,24,16
23K184,P.S. 184 NEWPORT,3,2019,66,13
23K298,P.S. 298 DR. BETTY SHABAZZ,3,2019,19,6
23K323,P.S./I.S. 323,3,2019,50,10
23K327,P.S. 327 DR. ROSE B. ENGLISH,3,2019,38,5
23K401,CHRISTOPHER AVENUE COMMUNITY SCHOOL,3,2019,30,7
23K446,RIVERDALE AVENUE COMMUNITY SCHOOL,3,2019,40,7
23K599,BROOKLYN LANDMARK ELEMENTARY SCHOOL,3,2019,57,41
24Q007,P.S. 007 LOUIS F. SIMEONE,3,2019,216,108
24Q012,P.S. 012 JAMES B. COLGATE,3,2019,187,135
24Q013,P.S. 013 CLEMENT C. MOORE,3,2019,247,111
24Q014,P.S. 014 FAIRVIEW,3,2019,305,107
24Q016,P.S. Q016 THE NANCY DEBENEDITTIS SCHOOL,3,2019,343,125
24Q019,P.S. 019 MARINO JEANTET,3,2019,294,99
24Q049,P.S. 049 DOROTHY BONAWIT KOLE,3,2019,120,78
24Q058,P.S. 58 - THE SCHOOL OF HEROES,3,2019,130,77
24Q068,P.S. 068 CAMBRIDGE,3,2019,87,39
24Q071,P.S. 071 FOREST,3,2019,95,56
24Q081,P.S. 81Q JEAN PAUL RICHTER,3,2019,84,48
24Q087,P.S./I.S. 087 MIDDLE VILLAGE,3,2019,45,30
24Q088,P.S. 088 SENECA,3,2019,129,63
24Q089,P.S. 089 ELMHURST,3,2019,302,147
24Q091,P.S. 091 RICHARD ARKWRIGHT,3,2019,113,53
24Q102,P.S. 102 BAYVIEW,3,2019,122,82
24Q110,P.S. 110,3,2019,178,99
24Q113,P.S./I.S. 113 ANTHONY J. PRANZO,3,2019,80,64
24Q119,I.S. 119 THE GLENDALE,3,2019,113,92
24Q143,P.S. 143 LOUIS ARMSTRONG,3,2019,249,79
24Q153,P.S. 153 MASPETH ELEM,3,2019,146,98
24Q199,P.S. 199 MAURICE A. FITZGERALD,3,2019,117,48
24Q211,ELM TREE ELEMENTARY SCHOOL,3,2019,60,40
24Q229,P.S. 229 EMANUEL KAPLAN,3,2019,226,152
24Q239,P.S. 239,3,2019,84,24
24Q290,A.C.E. ACADEMY FOR SCHOLARS AT THE GERALDINE FERRA,3,2019,94,61
24Q305,LEARNERS AND LEADERS,3,2019,63,33
24Q307,PIONEER ACADEMY,3,2019,143,67
24Q330,HELEN M. MARSHALL SCHOOL,3,2019,65,20
24Q343,THE CHILDREN'S LAB SCHOOL,3,2019,80,37
25Q020,P.S. 020 JOHN BOWNE,3,2019,156,97
25Q021,P.S. 021 EDWARD HART,3,2019,188,124
25Q022,P.S. 022 THOMAS JEFFERSON,3,2019,145,121
25Q024,P.S. 024 ANDREW JACKSON,3,2019,158,117
25Q029,P.S. 029 QUEENS,3,2019,105,54
25Q032,P.S. 032 STATE STREET,3,2019,143,105
25Q079,P.S. 079 FRANCIS LEWIS,3,2019,173,131
25Q107,P.S. 107 THOMAS A DOOLEY,3,2019,122,60
25Q120,P.S. 120 QUEENS,3,2019,123,82
25Q129,P.S. 129 PATRICIA LARKIN,3,2019,170,142
25Q130,P.S. 130,3,2019,54,47
25Q154,P.S. 154 QUEENS,3,2019,110,73
25Q163,P.S. 163 FLUSHING HEIGHTS,3,2019,118,88
25Q164,P.S. 164 QUEENS VALLEY,3,2019,63,32
25Q165,P.S. 165 EDITH K. BERGTRAUM,3,2019,96,72
25Q169,P.S. 169 BAY TERRACE,3,2019,61,52
25Q184,P.S. 184 FLUSHING MANOR,3,2019,74,59
25Q193,P.S. 193 ALFRED J. KENNEDY,3,2019,64,55
25Q200,P.S./M.S. 200 - THE MAGNET SCHOOL OF GLOBAL STUDIE,3,2019,44,25
25Q201,P.S. 201 THE DISCOVERY SCHOOL FOR INQUIRY AND RESE,3,2019,71,26
25Q209,P.S. 209 CLEARVIEW GARDENS,3,2019,71,62
25Q214,P.S. 214 CADWALLADER COLDEN,3,2019,54,38
25Q219,P.S. 219 PAUL KLAPPER,3,2019,48,29
25Q242,P.S. 242 LEONARD P. STAVISKY EARLY CHILDHOOD SCHOO,3,2019,58,49
