CAD_EVNT_ID,CREATE_DATE,INCIDENT_DATE,INCIDENT_TIME,NYPD_PCT_CD,BORO_NM,PATRL_BORO_NM,GEO_CD_X,GEO_CD_Y,RADIO_CODE,TYP_DESC,CIP_JOBS,ADD_TS,DISP_TS,ARRIVD_TS,CLOSNG_TS,Latitude,Longitude
73974060,01/01/2021,01/01/2021,00:04:29,112,QUEENS,PATROL BORO QUEENS NORTH,1023834,202850,10Y3,INVESTIGATE/POSSIBLE CRIME: SERIOUS/OTHER,Non CIP,01/01/2021 12:04:29 AM,01/01/2021 12:06:13 AM,01/01/2021 12:07:49 AM,01/01/2021 12:09:17 AM,40.723373,-73.857193
73974061,01/01/2021,01/01/2021,00:04:30,13,MANHATTAN,PATROL BORO MAN SOUTH,986109,210622,39T2,OTHER CRIMES (IN PROGRESS): TRESPASS/OUTSIDE,Non Critical,01/01/2021 12:04:30 AM,01/01/2021 12:07:02 AM,,01/01/2021 12:14:32 AM,40.744793,-73.993293
73974062,01/01/2021,01/01/2021,00:04:32,69,BROOKLYN,PATROL BORO BKLYN SOUTH,1012456,176200,13X2,ASSIST POLICE OFFICER: UNKNOWN/OUTSIDE,Critical,01/01/2021 12:04:32 AM,01/01/2021 12:04:38 AM,01/01/2021 12:04:41 AM,01/01/2021 12:30:16 AM,40.650268,-73.898354
73974062,01/01/2021,01/01/2021,00:04:32,69,BROOKLYN,PATROL BORO BKLYN SOUTH,1012456,176200,13X2,ASSIST POLICE OFFICER: UNKNOWN/OUTSIDE,Critical,01/01/2021 12:04:32 AM,01/01/2021 12:04:54 AM,,01/01/2021 12:42:32 AM,40.650268,-73.898354
73974063,01/01/2021,01/01/2021,00:04:42,122,STATEN ISLAND,PATROL BORO STATEN ISLAND,957011,161058,10Y3,INVESTIGATE/POSSIBLE CRIME: SERIOUS/OTHER,Non CIP,01/01/2021 12:04:42 AM,01/01/2021 12:19:14 AM,01/01/2021 12:48:16 AM,01/01/2021 12:50:52 AM,40.608710,-74.098103
73974064,01/01/2021,01/01/2021,00:04:47,75,BROOKLYN,PATROL BORO BKLYN NORTH,1021369,186623,52D6,DISPUTE: FAMILY,Non CIP,01/01/2021 12:04:47 AM,01/01/2021 12:12:03 AM,,01/01/2021 02:29:38 AM,40.678844,-73.866176
73974065,01/01/2021,01/01/2021,00:04:52,66,BROOKLYN,PATROL BORO BKLYN SOUTH,992635,173428,52K2,DISPUTE: KNIFE/OUTSIDE,Non CIP,01/01/2021 12:04:52 AM,01/01/2021 12:06:13 AM,01/01/2021 12:12:19 AM,01/01/2021 12:16:45 AM,40.642701,-73.969787
73974066,01/01/2021,01/01/2021,00:04:56,9,MANHATTAN,PATROL BORO MAN SOUTH,988635,203475,54U2,AMBULANCE CASE: UNCONSCIOUS/OUTSIDE,Non CIP,01/01/2021 12:04:56 AM,01/01/2021 12:07:25 AM,,01/01/2021 12:26:19 AM,40.725176,-73.984181
73974067,01/01/2021,01/01/2021,00:04:57,109,QUEENS,PATROL BORO QUEENS NORTH,1034422,215391,10S2,INVESTIGATE/POSSIBLE CRIME: SHOTS FIRED/OUTSIDE,Critical,01/01/2021 12:04:57 AM,01/01/2021 12:05:43 AM,01/01/2021 12:10:54 AM,01/01/2021 12:11:59 AM,40.757741,-73.818902
73974068,01/01/2021,01/01/2021,00:04:58,44,BRONX,PATROL BORO BRONX,1006195,240321,68Q1,SEE COMPLAINANT: OTHER/INSIDE,Non CIP,01/01/2021 12:04:58 AM,01/01/2021 12:04:58 AM,01/01/2021 12:04:58 AM,01/01/2021 12:29:36 AM,40.826282,-73.920708
73974070,01/01/2021,01/01/2021,00:05:04,41,BRONX,PATROL BORO BRONX,1013880,240034,75M,TRAIN RUN/MOBILE ORDER MAINTENANCE SWEEP,Non CIP,01/01/2021 12:05:04 AM,01/01/2021 12:05:04 AM,01/01/2021 12:05:04 AM,01/01/2021 12:16:03 AM,40.825472,-73.892941
